index,viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO
143,1.1,1773,0.439,0.262,0.0,0.299,0.0
183,5.88,1773,0.2,0.055,0.467,0.0,0.278
302,8.02,1673,0.311,0.086,0.387,0.0,0.216
172,6.76,1773,0.319,0.088,0.446,0.0,0.148
400,1.6,1853,0.605,0.106,0.094,0.046,0.149
139,0.6,1873,0.363,0.293,0.0,0.344,0.0
355,1.37,1773,0.56,0.108,0.087,0.094,0.151
408,2.2,1833,0.605,0.106,0.094,0.046,0.149
253,4.6,1723,0.475,0.058,0.394,0.0,0.073
20,18.9,1765,0.4,0.1,0.5,0.0,0.0
427,1.2,1783,0.56,0.108,0.087,0.094,0.151
211,4.75,1733,0.351,0.104,0.327,0.0,0.219
311,11.4,1673,0.441,0.121,0.36,0.0,0.077
364,0.9,1823,0.57,0.179,0.087,0.084,0.081
319,13.4,1623,0.305,0.056,0.427,0.0,0.212
312,8.3,1623,0.362,0.085,0.338,0.0,0.216
56,6.8,1823,0.417,0.0,0.583,0.0,0.0
166,2.84,1773,0.348,0.027,0.417,0.0,0.207
111,13.6,1673,0.508,0.124,0.368,0.0,0.0
149,1.8,1773,0.417,0.312,0.0,0.271,0.0
114,54.7,1673,0.366,0.235,0.399,0.0,0.0
276,10.2,1673,0.363,0.057,0.436,0.0,0.144
241,14.2,1723,0.213,0.117,0.447,0.0,0.222
296,6.4,1673,0.413,0.057,0.386,0.0,0.144
338,1.7,1773,0.638,0.146,0.075,0.03,0.111
174,13.3,1773,0.272,0.12,0.457,0.0,0.151
265,8.37,1723,0.265,0.117,0.396,0.0,0.222
4,12.7,1816,0.4,0.2,0.4,0.0,0.0
286,8.19,1673,0.299,0.027,0.465,0.0,0.208
244,5.6,1723,0.299,0.027,0.465,0.0,0.208
236,12.6,1723,0.443,0.091,0.465,0.0,0.0
417,1.81,1803,0.591,0.107,0.091,0.062,0.15
16,38.7,1765,0.35,0.1,0.55,0.0,0.0
325,36.0,1623,0.213,0.117,0.447,0.0,0.222
359,0.61,1823,0.604,0.15,0.085,0.082,0.079
83,26.3,1773,0.35,0.16,0.49,0.0,0.0
392,0.92,1873,0.605,0.106,0.094,0.046,0.149
243,6.08,1723,0.356,0.028,0.475,0.0,0.141
73,11.6,1773,0.416,0.196,0.388,0.0,0.0
230,9.4,1723,0.396,0.156,0.37,0.0,0.079
227,4.0,1823,0.459,0.108,0.357,0.0,0.076
22,13.1,1740,0.45,0.1,0.45,0.0,0.0
69,9.2,1773,0.453,0.124,0.423,0.0,0.0
414,0.97,1813,0.575,0.107,0.09,0.078,0.151
120,11.6,1673,0.487,0.059,0.454,0.0,0.0
264,10.04,1723,0.325,0.119,0.405,0.0,0.151
205,4.39,1733,0.419,0.106,0.326,0.0,0.149
390,1.09,1873,0.507,0.232,0.09,0.087,0.084
334,37.8,1623,0.209,0.086,0.487,0.0,0.218
376,0.6,1873,0.603,0.179,0.054,0.083,0.081
52,4.5,1873,0.434,0.06,0.506,0.0,0.0
306,15.15,1673,0.325,0.119,0.405,0.0,0.151
283,21.85,1673,0.213,0.117,0.447,0.0,0.222
382,0.7,1873,0.581,0.179,0.076,0.083,0.081
170,8.54,1773,0.443,0.091,0.465,0.0,0.0
182,6.71,1773,0.255,0.056,0.476,0.0,0.213
72,7.53,1773,0.463,0.159,0.378,0.0,0.0
251,13.7,1723,0.153,0.084,0.477,0.0,0.285
324,43.1,1623,0.272,0.12,0.457,0.0,0.151
370,1.5,1823,0.507,0.232,0.09,0.087,0.084
105,21.9,1723,0.389,0.092,0.519,0.0,0.0
32,34.8,1714,0.4,0.2,0.4,0.0,0.0
245,5.53,1723,0.245,0.027,0.456,0.0,0.272
11,16.0,1791,0.4,0.2,0.4,0.0,0.0
91,7.6,1723,0.508,0.124,0.368,0.0,0.0
387,0.64,1873,0.592,0.148,0.151,0.035,0.075
81,8.54,1773,0.443,0.091,0.465,0.0,0.0
92,11.9,1723,0.463,0.159,0.378,0.0,0.0
129,39.4,1673,0.373,0.029,0.597,0.0,0.0
47,4.7,1873,0.417,0.0,0.583,0.0,0.0
341,0.79,1773,0.538,0.167,0.087,0.126,0.081
